name,difficulty,lap,length,direction,year,month,day,release_date,theme,track_id,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_record,AVG_record,percentage
빌리지 운하,1,3,4.8,시계방향,2004,6,1,2004-06-01,빌리지,3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,10325,215222,70792,32.8925,1809053528,51731.58502,12.914
트랙 9,2,1,3.5,단선형,2013,8,8,2013-08-08,해변,973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,7067,12807,3766,29.4058,457084946,55451.28545,8.839
노르테유 허공의 갈림길,2,3,3.9,반시계방향,2005,8,25,2005-08-25,노르테유,caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,5343,8232,1794,21.793,346111840,58982.93115,6.683
코리아 제주 해오름 다운힐,2,1,5.6,단선형,2021,8,12,2021-08-12,코리아,b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,4183,25468,8688,34.1134,496217651,68794.90517,5.232
빌리지 고가의 질주,2,2,7.4,시계방향,2004,6,1,2004-06-01,빌리지,7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,2714,30486,10096,33.1168,780886822,116969.2663,3.395
비치 해변 드라이브,2,2,9.9,반시계방향,2013,7,11,2013-07-11,해변,1aac63e559f6f5890c9e90e2f8ffb2691e45aafbc5d148523405be3292b9785c,2140,24805,11344,45.7327,653733950,128865.3558,2.677
사막 버려진 오아시스,1,3,6,시계방향,2004,6,1,2004-08-01,사막,bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1543,7449,3560,47.7916,219874298,104354.1993,1.93
메이플 헤네시스 공원,2,2,6.4,시계방향,2022,7,21,2022-07-21,메이플,0e324e952312814d287d63fa6f6bdee65fca748fbae2acdfad95e6f4dbded102,1507,20226,7559,37.3727,379016080,98933.98068,1.885
빌리지 남산,2,2,8.2,시계방향,2012,11,29,2012-11-29,빌리지,81f8d8e53e86cc06c0bdb3e5c1f4ef7aa31650c3a9a011631471edc377254fd7,1457,19645,5778,29.4121,419392821,109673.8549,1.822
메이플 리스항구 언덕길,2,2,6,워프형,2022,7,21,2022-07-21,메이플,73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,1452,19738,8864,44.9083,316402232,92515.27251,1.816
WKC 코리아 서킷,2,2,8.7,반시계방향,2011,6,30,2011-06-30,WKC,936626b1d09165291db82c65c8533f6a023e1f72669741706b70835bcffb699e,1311,19796,6257,31.6074,445464231,120722.0138,1.64
네모 산타의 비밀공간,4,2,8.2,워프형,2016,12,15,2016-12-15,네모,a2bc792a460163af9b1d5726d8a125aa1ba1aa53b32a39be1bf0be2b7368154e,1104,16638,9466,56.8939,319743535,120566.9438,1.381
월드 뉴욕 대질주,3,1,6.9,단선형,2015,12,10,2015-12-10,월드,929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,1085,15975,6617,41.421,287109095,101165.9954,1.357
메이플 레헬른 악몽의 시계탑,3,2,8.6,반시계방향,2022,8,4,2022-08-04,메이플,c81f0b80597f0d4681dd925c08f9250512a7dd8dd9257244049bb879f9f767a5,1079,15722,11523,73.2922,337434196,136668.3661,1.35
차이나 상해 동방명주,2,3,6.6,시계방향,2008,7,24,2008-07-24,차이나,78b3e43cada66683a9ffa6e9a932a68ca76c36893272338aa89f6cb5f27a0b23,1048,10206,3545,34.7345,259852845,104737.1403,1.311
차이나 라사,2,2,8.6,시계방향,2014,6,5,2014-06-05,차이나,8d50ed8ae32a4ce260dd7d8303552f72f3e80f15d8bf4192aa4ffe784c81ca12,1039,17778,6998,39.3633,371755188,124708.2147,1.3
메이플 리스항구 선착장,1,3,4.9,반시계방향,2022,7,21,2022-07-21,메이플,b7cb8cf6cfe163b27b7cde2a66de24394bb51afc5102d0c04dbd39eab9bba05b,1030,1954,369,18.8843,96160664,75717.05827,1.288
월드 리오 다운힐,2,1,5.7,단선형,2015,12,10,2015-12-10,월드,f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,978,15833,5327,33.6449,231017785,81950.26073,1.223
월드 두바이 다운타운,3,2,8.4,시계방향,2016,7,7,2016-07-07,월드,37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,931,17109,9299,54.3515,315850928,120232.5573,1.164
빌리지 운명의 다리,3,2,9.4,반시계방향,2010,9,16,2010-09-16,빌리지,354aa746522dd2aa92b2f61dec2be4bcd215e13a1c522b47ff7ae31164bbfafc,894,14771,7801,52.8129,327059407,145489.0601,1.118
노르테유 스카이웨이,3,2,9.1,반시계방향,2022,6,23,2022-06-23,노르테유,12170098c74c9d6d7db9abb0d5e0cde38c685b5c171f1d4f5b369abe2b22d61e,852,14073,8563,60.847,301792882,143369.5401,1.066
쥐라기 공룡 무덤,2,2,8.5,워프형,2015,10,8,2015-10-08,쥐라기,577a231fed4029f30269a0bbb648f0bff8abfe94e88258db8ce33ad4ad8504fe,828,14534,5217,35.8951,290386616,115876.5427,1.036
WKC 크레이지 10,2,3,1.5,시계방향,2014,8,7,2014-08-07,WKC,aa3e9464fb5ec94b5daee8b6848c18d3ae9f441422f99f738fb0271c8a835bf6,825,19948,11755,58.9282,90770424,55246.75837,1.032
신화 신들의 세계,3,1,6.9,워프형,2018,12,27,2018-12-27,신화,5865397bd41471250d1db58583decbfe5a703d6a59facaeae229c527b58b832b,821,15442,4222,27.341,272210324,101571.0164,1.027
빌리지 손가락,3,3,6,시계방향,2004,6,1,2004-06-01,빌리지,7b64acf01df51b2bf6311792c83dad29b5aeb257e5188659b073c8f48eea6722,816,6533,3359,51.4159,202436477,122023.1929,1.021
WKC 투어링 랠리,4,1,6.4,단선형,2011,6,30,2011-06-30,WKC,40cf59a454ab971e82a900b0746b9a62fa21322789f6357b03c2edbe2961b080,796,14644,6741,46.0325,222638835,103408.6554,0.996
네모 장난감 선물공장,3,1,6.2,단선형,2016,12,15,2016-12-15,네모,0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,793,12917,5707,44.1821,182159263,86413.31262,0.992
브로디 비밀의 연구소,3,2,10.5,워프형,2011,12,22,2011-12-22,브로디,4cd670f582e1fc5db858df3c43a51adcd645053ad3c2ea2c49120e58f61f17e3,722,14779,5935,40.1583,337601307,148265.8353,0.903
쥐라기 공룡 결투장,3,2,8.6,반시계방향,2015,6,18,2015-06-18,쥐라기,5873d5fe128549b597e984c87881e7d0ab632e381073164fe513e902f48a3ccd,722,14597,7386,50.5994,276906800,130863.327,0.903
차이나 서안 병마용,4,2,7.4,반시계방향,2008,7,24,2008-07-24,차이나,95fbb45f299b72e7e5d1f013e56d528dd5b67fae6a57a1b8ca3b2eec7ba84bfc,719,5739,2349,40.9305,182189832,126784.8518,0.899
차이나 황산,3,1,6.7,단선형,2013,4,18,2013-04-18,차이나,243ccbc7e0f66415976bd36d3718821c2af1440d16e923dca6be7a0b4bc1c02c,700,14469,6742,46.5962,195689220,92349.79707,0.876
WKC 싱가폴 서킷,2,2,9.2,반시계방향,2011,6,30,2011-06-30,WKC,f33646e9f30c6f7bf26dccd3fa2a5a7e3c5d90c405645142a35523f86290077e,697,6956,3428,49.2812,230137837,150515.2629,0.872
차이나 북경 자금성,2,3,6.3,시계방향,2008,7,24,2008-07-24,차이나,3c03b354c083aa8311b62221f535b6228f935e9b3a9352b0f2c1c71ac7833544,677,6658,3024,45.419,149970697,99913.85543,0.847
월드 이탈리아 피사의 사탑,3,1,4.7,단선형,2018,5,17,2018-05-17,월드,37af020d27f898e4fa9db2c96ff97fefff8491f49b08bdc68e71c35e43d53b7b,661,14803,8051,54.3876,170986092,82842.09884,0.827
차이나 서안 병마용 2,3,2,6.6,반시계방향,2011,8,11,2011-08-11,차이나,defe560d53c3def551cc91a61443ac19709c0e58d102c1167c54a3f304422c6b,647,15169,8546,56.3386,215596458,105892.1699,0.809
빌리지 두개의 관문,1,3,6.9,시계방향,2004,7,20,2004-07-20,빌리지,c93843288b6c038f11328c0e4a4dae0663a94154242059e1a62f73503e84b104,618,5446,2266,41.6085,142836143,107314.9083,0.773
빌리지 고가의 질주 2,2,2,7.2,시계방향,2011,8,11,2011-08-11,빌리지,751e252308abbced14f6a5efcfb555c28776e6009ca3c622eba35788e70a3bab,614,5617,1797,31.9922,157849105,120311.8178,0.768
1920 기차역 질주,2,2,8.6,시계방향,2013,12,26,2013-12-26,1920,ef680fe215b564c5a1a78877dc76afc367d3d795290da240644900eba24c6fb9,614,5859,1964,33.5211,177839446,134624.8645,0.768
1920 아슬아슬 비행장,3,2,10.5,시계방향,2014,1,23,2014-01-23,1920,0b809bd33246fac5d3b39ba8d2e274999647174e43ec4645865d4dc349b08290,572,12590,5069,40.2621,290360797,158667.1022,0.715
포레스트 골짜기,1,3,7.5,시계방향,2004,6,7,2004-06-07,포레스트,1c5787c05fa0a0e04f2aff585f471681dfa0f35c9fd404d97ae6f87f6a4831d6,517,5694,2536,44.5381,139797212,117279.5403,0.647
사막 베거이 시장,1,3,5.4,반시계방향,2004,9,20,2004-09-20,사막,6b4df446275a17345901a06f1e89ae7e2269c81b63d548043446c8cfea35312e,509,5031,1877,37.3087,110746588,92674.96904,0.637
포레스트 기암괴석,2,3,5.4,시계방향,2004,6,29,2004-06-29,포레스트,1f58aaa5dbc7ad73a2ee87a280407194b2a9312ad893d763d1dfb75e75e98bf6,505,4271,1281,29.993,94274833,89444.81309,0.632
포레스트 행복한 팬더 마을,1,3,6,시계방향,2009,4,16,2009-04-16,포레스트,063bb12532648af822545b74a44ae0b2149561f9d2aa0110e0fd518b551d1f7a,498,4601,1757,38.1874,99554565,94543.74644,0.623
노르테유 익스프레스,5,1,8.8,단선형,2006,3,23,2006-03-23,노르테유,8a9b71d9a9a3d56c3ccfbc7ae9319ae64c373e4a70e9a704adf58ef5eb1d7c30,491,3799,1706,44.9066,145690742,155985.8051,0.614
